,title,rating,reviews,type,address,serviceOptions,gpsCoordinates,website,phone
2153,Chhattisgarh State Minor Forest Produce (Trading & Development) Co-operative Federation Limited,4.3,28,Association or organization,"Chhattisgarh State Minor Forest Produce (Trading and Development) Co-operative Federation Ltd., “Van Dhan Bhawan”, Sector-24",,"{""latitude"":""21.2614401"",""longitude"":""81.6773994""}",http://cgmfpfed.org/,07712513100
2156,Dark Forest,4.7,3,Herb shop,21/360,In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2508003"",""longitude"":""81.6283996""}",,07489764607
2166,Forest Essentials,5.0,1,Health and beauty shop,"SWAMI VIVEKANANDA AIRPORT, RAIPUR, Security Hold Area",In-store shoppingDelivery,"{""latitude"":""21.1928305"",""longitude"":""81.7450262""}",https://www.forestessentialsindia.com/,07712418844
2170,Forest Essentials,2.3,3,Cosmetics store,"GF13, Magneto The Mall",In-store shoppingDelivery,"{""latitude"":""21.2409294"",""longitude"":""81.6841566""}",https://www.forestessentialsindia.com/,07714322262
2172,Forest Essentials,4.5,2,Cosmetics store,"Swami Vivekananda Airport, Raipur, Shop No - R10B",In-store shoppingDelivery,"{""latitude"":""21.1913632"",""longitude"":""81.7238574""}",http://www.forestessentialsindia.com/,07712418844
2237,NWFP Mart,5.0,1,Wholesaler,"6JVW+MX9, Great Eastern Rd","""These forest products are made by self help groups of forest fringe ...""","{""latitude"":""21.244153"",""longitude"":""81.647498""}",,07712420365
2266,Juice Jungle,4.0,202,Cafe,Shop No - 09 Golden Trade Centre,Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2223126"",""longitude"":""81.6614997""}",https://juice-jungle.business.site/?utm_source=gmb&utm_medium=referral,09302292532
2267,Cafe jungle,3.8,194,Cafe,"6MX6+MW3, Main Rd, Opp Vidya Hospital",Dine-inTakeaway,"{""latitude"":""21.2491316"",""longitude"":""81.6623087""}",,07440879413
2268,Juice Jungle,4.0,48,Cafe,My Raid Cafe,Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2360702"",""longitude"":""81.6006704""}",,09770573633
2278,Jungle safari Nava Raipur,4.2,295,Tourist attraction,3QXH+CWW,,"{""latitude"":""21.0986171"",""longitude"":""81.7798263""}",https://junglesafari.cg.nic.in/,07712439725
2286,Jungle Entertainments,4.8,47,Dance school,"Rishabh City Prime, H-402, Potiya Rd",On-site servicesOnline classes,"{""latitude"":""21.1694627"",""longitude"":""81.2827018""}",https://junglestudios.wixsite.com/jungleentertainments,09993125557
2444,Hotel VW Canyon,3.9,"4,564",4-star hotel,4-star hotel,Pool Spa Free parking Free Wi-Fi,"{""latitude"":""21.2255182"",""longitude"":""81.6963523""}",http://www.vwcanyon.com/,070241 29726
2447,The Little Break,4.0,22,Cafe,"6MFV+QH2, Brahmdev Chowk, VIP Rd, opp. V.W. Canyon",Dine-inTakeawayDelivery,"{""latitude"":""21.2243887"",""longitude"":""81.6938804""}",,08889193330
2450,"Chokar Dhani, Raipur",4.1,"1,767",Restaurant,Restaurant,Dine-inNo delivery,"{""latitude"":""21.226599"",""longitude"":""81.6971417""}",http://chokardhani.in/,062329 07773
2457,Simran Auto Center Fundhar,5.0,2,Auto Accessories Wholesaler,VW Canyon Rd,,"{""latitude"":""21.2245357"",""longitude"":""81.6937709""}",,07987728401
2459,Grand Canyon Water Park,4.2,"2,957",Water park,202 ถนน เลียบคลองชลประทาน,,"{""latitude"":""18.6959717"",""longitude"":""98.8919584""}",http://grandcanyonwaterpark.velaeasy.com/,+66 52 010 565
2460,Black Canyon of the Gunnison National Park,4.8,"4,177",National park,National park,,"{""latitude"":""38.5753936"",""longitude"":""-107.7415961""}",http://www.nps.gov/blca/index.htm,+1 970-641-2337
2468,Palo Duro Canyon State Park,4.8,"7,930",State park,State park,,"{""latitude"":""34.9372503"",""longitude"":""-101.6589305""}",https://tpwd.texas.gov/state-parks/palo-duro-canyon,+1 806-488-2227
2470,Charyn Canyon National Park,4.8,"3,506",National park,932H+GM2,,"{""latitude"":""43.3512537"",""longitude"":""79.0791416""}",,+7 72778 2 14 33
2471,Wisata Green Canyon / Cukang Taneuh Pangandaran,4.6,"6,954",Tourist attraction,"Jalan Raya Cijulang Dusun. Karangpaci, RT.02/RW.10",On-site servicesOnline appointments,"{""latitude"":""-7.7350353"",""longitude"":""108.4564517""}",https://wisatagreencanyon.business.site/,+62 815-4666-558
2475,Canyons Village at Park City,4.6,"2,885",4-star hotel,4-star hotel,Pool Spa Free parking Free Wi-Fi,"{""latitude"":""40.6856068"",""longitude"":""-111.5563345""}",http://www.parkcitymountain.com/,+1 435-615-8040
2476,Hidden Canyon Beji Guwang,4.5,"2,495",Tourist attraction,"97QQ+XMM, Banjar Wangbung, Jl. Sahadewa",,"{""latitude"":""-8.6099153"",""longitude"":""115.2894286""}",http://www.hiddencanyonbejiguwang.com/,+62 813-4729-4219
2479,Snow Canyon State Park,4.8,"3,804",State park,1002 Snow Canyon Dr,,"{""latitude"":""37.2178145"",""longitude"":""-113.6395961""}",https://stateparks.utah.gov/parks/snow-canyon/discover/,+1 435-628-2255
2481,Carbon Canyon Regional Park,4.7,"2,316",Park,4442 Carbon Canyon Rd,,"{""latitude"":""33.9221652"",""longitude"":""-117.8370192""}",http://www.ocparks.com/parks/carbon,+1 714-973-3160
2482,Canyon Inn,3.5,428,Grill,6821 Fairlynn Blvd,Dine-inTakeawayNo delivery,"{""latitude"":""33.8635059"",""longitude"":""-117.7867902""}",http://www.canyoninnsportsbar.com/,+1 714-779-0880
2484,Canyon Restaurant,4.4,575,Southwestern American,620 S Federal Hwy,Dine-inTakeawayDelivery  Reserve a table,"{""latitude"":""26.1138932"",""longitude"":""-80.1367846""}",https://www.canyonfl.com/,+1 754-779-7199
2485,Providence Canyon State Park,4.7,"2,588",State park,8930 Canyon Rd,,"{""latitude"":""32.0689195"",""longitude"":""-84.9143151""}",https://gastateparks.org/ProvidenceCanyon,+1 229-838-6202
2488,Caprock Canyons State Park & Trailway,4.8,"1,699",State park,850 Caprock Canyon Park Road,,"{""latitude"":""34.4369909"",""longitude"":""-101.0598617""}",https://tpwd.texas.gov/state-parks/caprock-canyons,+1 806-455-1492
2491,Grand Canyon Caverns,4.4,"1,863",Tourist attraction,AZ-66,,"{""latitude"":""35.5287089"",""longitude"":""-113.2309516""}",http://gccaverns.com/,+1 928-422-3223
2492,Sloan Canyon National Conservation Area,4.6,923,Nature preserve,Nawghaw Poa Rd,,"{""latitude"":""35.9106064"",""longitude"":""-115.0664119""}",https://www.blm.gov/programs/national-conservation-lands/nevada/sloan-canyon-nca,+1 702-515-5000
2500,Green Valley,4.2,21,Housing society,6MPG+F55,,"{""latitude"":""21.2361477"",""longitude"":""81.6754873""}",,07587855000
2501,VV Valley Raipur,4.3,6,Real estate developer,"7P2R+67C, Chhattisgarh housing board colony",,"{""latitude"":""21.2505233"",""longitude"":""81.7404983""}",,08516836666
2502,Wardrobe valley,5.0,15,Clothing store,"1, NH130B",,"{""latitude"":""21.2545015"",""longitude"":""81.6494088""}",http://www.wardrobevalley.com/,08770979770
2512,Kaanger Valley Academy,4.2,175,Private university,"6HVP+PFG, Ring Road No. 1",,"{""latitude"":""21.244312"",""longitude"":""81.5862151""}",http://www.kva.edu.in/,07712262478
2892,Landmark Hotel,4.2,"1,028",3-star hotel,3-star hotel,Free parking Free breakfast Free Wi-Fi Air-conditioned,"{""latitude"":""21.2563061"",""longitude"":""81.652999""}",https://www.hotellandmarkraipur.com/site/,077142 02020
2966,Sai Villa (Pankh Anwani),4.0,2,Cultural landmark,"House no 02, Manviya vihar, behind kukreja farm house",,"{""latitude"":""21.2262304"",""longitude"":""81.6700343""}",,06900000006
3003,Great Eastern Trading Co Raipur,3.8,52,Electronics store,"Pandri Rd, opposite landmark hotel",In-store shoppingDelivery,"{""latitude"":""21.2566644"",""longitude"":""81.652739""}",http://www.greateastern.in/,07003816522
3004,Vishal Mega Mart,3.7,"2,168",Hypermarket,"Pandari Main Rd, Near Landmark Hotel",In-store shoppingDelivery,"{""latitude"":""21.2567623"",""longitude"":""81.6532576""}",https://stores.vishalmegamart.com/shopping-mart-pandri-raipur-30286/home?utm_source=GMB,09354575156
3007,Raheja Residency,4.2,113,Apartment complex,"6MXQ+8CQ, Raheja Residency, Landmark:Opposite to St. Xavier's",,"{""latitude"":""21.2483459"",""longitude"":""81.6886125""}",,08225811300
3135,Rohra Tower,3.9,27,Apartment complex,"7J7P+RQM, SH 2",,"{""latitude"":""21.2645847"",""longitude"":""81.6369354""}",,07714024950
3136,Raheja Towers,3.9,210,Plaza,"Raheja Towers, T 02 Third Floor, Fafadih Rd",,"{""latitude"":""21.2560213"",""longitude"":""81.6377386""}",http://www.rahejagroup.co/,07712421400
3168,PiyAnk Tower,4.3,60,Shopping mall,Bhawanipatna - Raipur Hwy,In-store shopping,"{""latitude"":""21.2448224"",""longitude"":""81.6467321""}",,09425236636
3177,Currency Tower,4.4,851,Business park,"6MQH+9J7, G.E, VIP Rd",,"{""latitude"":""21.2383468"",""longitude"":""81.6790309""}",http://www.lalgangabuilders.com/,07566419000
3187,Krishna Kripa Tower,2.7,3,Property management company,6MH4+92F,,"{""latitude"":""21.2284463"",""longitude"":""81.6550523""}",,08889201000
3199,Shivnath Tower,3.0,2,Corporate office,Corporate office,,"{""latitude"":""21.2181338"",""longitude"":""81.6584996""}",http://shivnathgroup.business.site/,09425258600
3246,"Vinayaka Infra, Orbit Tower",5.0,3,Establishment,Establishment,,"{""latitude"":""21.2342879"",""longitude"":""81.6102943""}",,07712242800
3247,"Suyash Sales, 501, Golden Tower",4.2,11,Store,6MJ9+C32,In-store shopping,"{""latitude"":""21.2310096"",""longitude"":""81.6676258""}",,07714043178
3249,maheshwari tower,5.0,1,Construction and maintenance office,"6JJJ+W82, Unnamed Road",,"{""latitude"":""21.2322602"",""longitude"":""81.6307773""}",,09424203636
3253,Indus Towers Limited (RAIPUR HUB2),4.8,34,Back Office,6MRM+QRM,,"{""latitude"":""21.2419737"",""longitude"":""81.6845373""}",,07714007500
3328,Savar Kundla Scales | Weight Machine & Weigh Bridge Manufacturer in Chhattisgarh & Raipur | Currency Counting l,4.4,22,Weighing Scale Supplier,Station Rd,,"{""latitude"":""21.2538428"",""longitude"":""81.6297027""}",https://savarkundlagroup.com/,09584110111
3351,KANTAWALA ENTERPRISES | Weight Machine & Weigh Bridge Manufacturer & Supplier in Raipur,4.9,18,Weigh station,"Kantawala enterprise, Telghani Chowk",,"{""latitude"":""21.2515142"",""longitude"":""81.6286671""}",http://www.deligent.in/,09826141304
3376,Nextie Building Solutions,,,Building materials supplier,"Karsan Chamber, near Haritage Hospital",,"{""latitude"":""21.2616928"",""longitude"":""81.6429696""}",http://www.nextie.in/,09644400663
3379,Mahesh Kumar Meehamal Building Material Suppliers,4.3,15,Building materials store,"Great Eastern Rd, near Bunkar Society Complex",In-store shoppingDelivery,"{""latitude"":""21.2403799"",""longitude"":""81.6231104""}",,07712538694
3381,Kshitij buildcon,,,Home builder,"Tiranga chowk kushalpur near kushalpur talab, Beside Mahalaxmi Tiles",,"{""latitude"":""21.251384"",""longitude"":""81.629641""}",https://www.shreekrishnabuilder.com/,09752299300
3384,Hafiz Construction,4.0,1,Building materials store,"7J6V+V75, New Timber Market & Mandi Rd",,"{""latitude"":""21.262137"",""longitude"":""81.6432459""}",,09827102142
3388,Maa Sharda Traders,4.0,1,Building materials store,"7J4M+QJJ, Civil Station Rd, beside Satkar Hotel",In-store shoppingDelivery,"{""latitude"":""21.256974"",""longitude"":""81.634025""}",,09425501655
3390,Bhawana Building Material - Ambuja Cement,,,Building materials store,"Shop No 13 & 14, DeendayaL Complex",,"{""latitude"":""21.2257615"",""longitude"":""81.6307371""}",https://dealers-nearme.ambujacement.com/bhawana-building-material-ambuja-cement-bhawana-building-material-cement-supplier-kawardha-kawardha-252012/Home?utm_source=locator&utm_medium=googleplaces,09167074228
3393,UltraTech Building Solutions,,,Building materials store,"R.K.TRADER (UBS, Nh-6, Main Rd",Delivery,"{""latitude"":""21.2240828"",""longitude"":""81.6675336""}",https://www.ultratechcement.com/products/ultratech-building-solutions,09425212363
3398,EasyBuildInfra,4.8,20,Real Estate Builders & Construction Company,"building Number 1060, street 3, sector 3, 01, Ring Road No. 1",,"{""latitude"":""21.2218157"",""longitude"":""81.6194493""}",https://easybuildinfra.business.site/?utm_source=gmb&utm_medium=referral,07000273285
3401,Aashra Enterprises,1.0,1,Building materials store,"No.28, Pithaliya Complex, KK Rd",In-store shoppingDelivery,"{""latitude"":""21.254499"",""longitude"":""81.6358209""}",,09479000959
3402,BuildEra Construction,,,Real Estate Builders & Construction Company,"Ring Road No. 1, Kushalpur Chowk Rd",,"{""latitude"":""21.2270807"",""longitude"":""81.6119844""}",,08966900900
3406,Heartly Facade (Building Exterior),5.0,4,Sign shop,"1st Floor, Shop No. 02, Heartly Complex Near PWD Arch Bridge, Chowk, Canal Rd",Delivery,"{""latitude"":""21.2257597"",""longitude"":""81.6643865""}",http://hfacade.com/,06900000006
3408,Rishabh Builders Corporate Office,4.7,115,Real Estate Builders & Construction Company,"D-13, 14, near Bank of Baroda","""... No new things came in building""","{""latitude"":""21.226564"",""longitude"":""81.652257""}",http://www.rishabhbuilders.co.in/,07354099991
3410,Sarthi Traders,3.0,1,Building materials store,Devendra Nagar Gate 1,In-store shoppingDelivery,"{""latitude"":""21.2543149"",""longitude"":""81.64036""}",,09425513408
3415,Desh Bhushan Steel Corporation,4.5,2,Iron & Steel Store,"Telghani Naka, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.253288"",""longitude"":""81.629669""}",,07712527947
3422,"Westside - Commercial Building, Raipur 2",4.1,95,Clothing store,"Raipur 2 Commercial Building, Main Rd",In-store shoppingDelivery,"{""latitude"":""21.2575052"",""longitude"":""81.6540337""}",https://www.westside.com/?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=westside-gmb,07712583070
3424,Fenesta Building Systems - Elite Home Decors,3.4,26,PVC windows supplier,"1st Floor, Mandi Rd, opposite Shree Narayana hospital",,"{""latitude"":""21.2626952"",""longitude"":""81.650106""}",https://www.fenesta.com/locate-us/partner-showroom-elite-home-decors-raipur-chhattisgarh/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,09399083182
3426,Jagan Nath Hardware,3.0,1,Hardware store,"7J3J+7G8, Opposite Syndicate Bank, New Hotel Grand, Station Rd",,"{""latitude"":""21.253172"",""longitude"":""81.631343""}",,09691411347
3427,House of tools,5.0,1,Tool store,House of tools neharpara kelkarpara Jhulelal chowk,In-store shoppingIn-store pick-up,"{""latitude"":""21.2525245"",""longitude"":""81.6326026""}",,09302488405
3428,Sahu Construction(building materials supplier),5.0,10,Building materials store,"Shanti Nagar, near Bada Talab Road",Delivery,"{""latitude"":""21.3112559"",""longitude"":""81.6236647""}",https://sites.google.com/view/sahuconstructions/home,06261048728
3429,Sara Sales,,,Lumber store,"7J2M+HMG, Near Jama Masjid, Janak Bada, KK Rd",In-store shopping,"{""latitude"":""21.2514432"",""longitude"":""81.6342116""}",,09827160155
3431,Utkal Sales,,,Hardware store,"7J3M+J2Q, Jhulelal Chowk, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2540999"",""longitude"":""81.6326069""}",,07714042144
3435,Sachdev Ply Palace,,,Hardware store,"Hotel Suhag Building, Opp S.B.I, Fafadih Naka",In-store shoppingDelivery,"{""latitude"":""21.261996"",""longitude"":""81.637523""}",,09303938231
3438,Ajanta Hardware,,,Hardware store,Main Rd,Delivery,"{""latitude"":""21.2606604"",""longitude"":""81.6372123""}",,09425213170
3441,Rakesh Plywood's,,,Lumber store,"7J3J+RVM, Naharpara Station Road",,"{""latitude"":""21.254583"",""longitude"":""81.632178""}",,07712523783
3442,Design Culture,4.6,63,Plywood supplier,"KK Rd, beside Gausala Compound",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2525839"",""longitude"":""81.6355445""}",https://www.designculture.co.in/,09425208073
3444,Rajat Group Of Industries,5.0,4,Hardware store,"Shop No 32, Srimati Suraj Devi Shukla Market, Station Rd",Delivery,"{""latitude"":""21.252747"",""longitude"":""81.630737""}",,09755999878
3445,Global Sales (Satish Khemka),,,Paint store,"Shop No. 1, Satyanarayan Dharmshala Trust, Station Rd",Delivery,"{""latitude"":""21.256894"",""longitude"":""81.632532""}",,09826199196
3447,Jagdish Chandra Sharda,3.7,3,Plywood supplier,St 1,,"{""latitude"":""21.2513261"",""longitude"":""81.6337458""}",https://besthomefurnishingwithjcsharda.wordpress.com/,08109024783
3448,SALUJA SANITARY MART | Best Sanitaryware in Raipur | Best Bathroom Fitting Dealer in Raipur,4.7,13,Bathroom supply store,"Sanjay Gandhi Chowk, Station Rd",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2538272"",""longitude"":""81.6310618""}",https://salujasanitarymart.business.site/?utm_source=gmb&utm_medium=referral,08770807077
3449,Gupta Mill And Hardware Centre,5.0,10,Hardware store,"Station Rd, behind Gurudwara",In-store shoppingDelivery,"{""latitude"":""21.2554555"",""longitude"":""81.6304715""}",,09826166058
3450,Modern Ply Home,5.0,3,Lumber store,"7J3M+F9V, Main Rd, Naharpara, near Jhulelal Chowk",In-store shoppingDelivery,"{""latitude"":""21.2537269"",""longitude"":""81.6334189""}",,09303991200
3451,Bansal Enterprises,,,Iron & Steel Store,"7J3H+JVX, Opp Jai Ambe Steel, Station Rd",,"{""latitude"":""21.254108"",""longitude"":""81.6297479""}",,07712523878
3452,Ruby Sales Corporation,4.0,6,Hardware store,"7J3J+9G2, Station Rd",Delivery,"{""latitude"":""21.2533809"",""longitude"":""81.631259""}",,07712559323
3453,Vijay Marketing,3.2,6,Hardware store,"7J4M+3CR, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2552309"",""longitude"":""81.6335296""}",,09826179655
3454,Suresh Steel Agency,5.0,1,Steel distributor,"SHOP NO 238, 2ND FLOOR, GRAND MERIDIAN (SAMRAT TALKIES BESIDE OF P.N.B BANK, FAFADIH CHOWK, Station Rd",,"{""latitude"":""21.256566"",""longitude"":""81.6339026""}",http://sureshsteelagency.wordpress.com/,07712880022
3455,Shree Shiva Door & Ply,,,Lumber store,7J3J+3PX,,"{""latitude"":""21.2527343"",""longitude"":""81.6318488""}",,09303519523
3457,Disha Traders,4.5,11,Hardware store,"6-7, Shaheed Smarak School Complex, K K Road, K K Road, opposite R M E Works",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.253845"",""longitude"":""81.636143""}",,09425505678
3458,Jai Baba Hardware & Plywood,3.8,4,Hardware store,"Gurudwara, Tatibandh Colony Rd",In-store shoppingDelivery,"{""latitude"":""21.254711"",""longitude"":""81.630949""}",,09300972288
3460,Khandelwal Hardware,4.2,5,Paint store,"Station Rd, behind Gurudwara",In-store shoppingDelivery,"{""latitude"":""21.2548537"",""longitude"":""81.6310818""}",,09424200424
3464,Yash Building Center,4.8,5,Brick Manufacturer,"Village Chhapora, CCI Mandhar - Lalpur Road, Near Khadan Area, Raipur",,"{""latitude"":""21.3268838"",""longitude"":""81.7440038""}",,09425286140
3466,Goyal Enterprises,,,Iron & Steel Store,"Opp. Hotel Simon 18/952 Civil, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2568509"",""longitude"":""81.6329559""}",,09425501690
3467,Khanna Hardware,5.0,3,Hardware store,7J3J+HW3,,"{""latitude"":""21.2538801"",""longitude"":""81.6322877""}",,09302128430
3468,Kanhaiya Sales,4.7,7,Hardware store,"Rajiv Gandhi Chowk, behind Gurudwara Singh Sabha",In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.2547527"",""longitude"":""81.6308997""}",,07714066650
3471,GOYAL SALES,3.9,55,Hardware store,goyal sales near jhulelal chowk,In-store shoppingDelivery,"{""latitude"":""21.2536844"",""longitude"":""81.6338119""}",https://www.facebook.com/goyalsalesveneershop/?view_public_for=1038117302905894,09165725819
3473,Sharda Agencies,3.5,2,Hardware store,"Sanjay Gandhi Chowk, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2543592"",""longitude"":""81.6309402""}",,09424105133
3474,Sai Chandra Infrastructure & Developer Ltd/ Best builder /2bhk Flat /3bhk flat,5.0,1,Real estate developer,"Chandra Arcade,City Kothwali road, Budhapara ,CSEB Office chowk",,"{""latitude"":""21.2362184"",""longitude"":""81.6375601""}",,07509001000
3475,Mohata Cement Agency and mohata sales,,,Building materials store,"Civil, near Samrat Talkies",,"{""latitude"":""21.2565631"",""longitude"":""81.633844""}",,09827164297
3476,Deepak Enterprises,5.0,1,Hardware store,"Pithaliya Complex, KK Rd, Near Durga College",In-store shoppingDelivery,"{""latitude"":""21.2545979"",""longitude"":""81.6359289""}",,09827916560
3477,Bhilai Builders Pvt Ltd,5.0,1,Real Estate Builders & Construction Company,"301, Guru Ghasidas Plaza,, Amapara, G.E Road,",,"{""latitude"":""21.240331"",""longitude"":""81.624888""}",,07716465555
3478,Vig Hardware & Mill Stores,3.2,9,Hardware store,"7J2J+JM4, Station Road",In-store shoppingDelivery,"{""latitude"":""21.2515006"",""longitude"":""81.631689""}",,07714024743
3480,Amrit Sales Corporation,4.2,10,Paint store,"7J4J+88W, Near Gurudwara, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2558502"",""longitude"":""81.6308189""}",,07714024000
3481,Shankar Traders,4.5,2,Iron & Steel Store,Iron & Steel Store,In-store shoppingDelivery,"{""latitude"":""21.254489"",""longitude"":""81.633152""}",,09827115782
3482,Rajesh Hardware,3.9,9,Hardware store,"7J3M+R89, Opp Sunita Lodge, Jhulelal Chowk",In-store shoppingDelivery,"{""latitude"":""21.254531"",""longitude"":""81.633354""}",,07714092149
3484,Goodwill Enterprises,5.0,9,Bathroom supply store,"Shop 9, pithalia plaza",In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.2539034"",""longitude"":""81.6355425""}",https://dizitalcard.in/goodwill-enterprises/,07879970007
3485,AKASH TRADING COMPANY,5.0,3,Hardware store,Shri shiva palace Compound Near Jhulelal Chowk,,"{""latitude"":""21.2550872"",""longitude"":""81.6335219""}",https://akash-trading-company-hardware-store.business.site/?utm_source=gmb&utm_medium=referral,07389508176
3486,Classic Sales,4.5,10,Hardware store,"7J3J+PPR, Sanjay Gandhi Chowk, opp. Bal Udyan",Delivery,"{""latitude"":""21.2543627"",""longitude"":""81.6317667""}",,09907664499
3487,J.M.D Enterprises,4.5,2,Aluminium Supplier,"Jhulelal Chowk, Station Rd",,"{""latitude"":""21.253624"",""longitude"":""81.634016""}",,07714073145
3488,Noble Enterprises,,,Hardware store,"Shop Number-7-8, K K Shukla Complex, Sanjay Gandhi Chowk, Station Rd",In-store shoppingDelivery,"{""latitude"":""21.2543729"",""longitude"":""81.631001""}",,07712524347
3489,Sangita Steels And Sanitation,5.0,1,Bathroom supply store,"Sanjay Gandhi SQUARE, behind station Gurudwara",In-store shoppingDelivery,"{""latitude"":""21.2540033"",""longitude"":""81.6307536""}",,09685999999
3491,Utkal Traders,5.0,1,Hardware store,"Shop No. - 26 Pithaliya Plaza, KK Rd",In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.2540534"",""longitude"":""81.6359066""}",https://utkal-traders.business.site/,09039130322
3493,S.G. Enterprises | Best Hardware Shop in Raipur,4.6,5,Hardware store,"Infront of Shikta complex,Station Rd,NR. Jhualal Chowk",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2541525"",""longitude"":""81.6323861""}",https://sgenterprisesraipur.business.site/?utm_source=gmb&utm_medium=referral,09300207224
3665,Central Library,3.7,18,Library,7J2Q+QR8,,"{""latitude"":""21.2519098"",""longitude"":""81.63958""}",,07712523919
3673,Deep into the Books - The Co Studying Space,4.4,34,Library,"First & Second floor, Deep into the Books - The Co Studying Space, C-8",,"{""latitude"":""21.2585895"",""longitude"":""81.645786""}",,07972591436
3676,Asha Library Cum Reading Room,4.6,122,Public library,"Jeet Tower, Shree Tower, Great Eastern Rd, behind Car Shringar, opposite Rajkumar College",,"{""latitude"":""21.2431429"",""longitude"":""81.6159583""}",https://m.facebook.com/172709879941882/,07898185897
3677,Rajkiya Jilla Granthalay,4.3,12,Library,"6JQR+9P4, Akashwani Chowk",,"{""latitude"":""21.2383886"",""longitude"":""81.6418373""}",,08085750382
3681,Vivekanand Shatabdi Smarak Granthalaya,4.0,4,Library,"6JR9+9R4, Great Eastern Rd, near Vivekananda Ashram",,"{""latitude"":""21.240886"",""longitude"":""81.61959""}",,07712225269
3682,Kabir Reading Library,5.0,34,Library,6JQ9+888 Infront of Mukut Garden,,"{""latitude"":""21.2382602"",""longitude"":""81.6182977""}",,06263092526
3684,Anandi Library,4.8,66,Library,1st Floor Narayani Heights,,"{""latitude"":""21.2452867"",""longitude"":""81.6685747""}",,07982329790
3685,Anandi Library,4.8,66,Library,1st Floor Narayani Heights,,"{""latitude"":""21.2452867"",""longitude"":""81.6685747""}",,07982329790
3687,PAATHSHAALA THE STUDY LIBRARY,4.5,12,Library,katela bhawan,,"{""latitude"":""21.2397848"",""longitude"":""81.6508917""}",http://paathshaala.raipur.live/,09907940079
3688,Nalanda Parisar- Oxy Reading Zone,4.4,730,Public library,"6JW4+HP3, Great Eastern Rd",,"{""latitude"":""21.2463876"",""longitude"":""81.6067826""}",,06262599717
3693,Asha Library Cum Reading Room 2,4.9,42,Library,"Pujari Park Rd, behind Pujari Park Palace",,"{""latitude"":""21.2254882"",""longitude"":""81.646029""}",https://asha-library-cum-reading-room.business.site/,07898185897
3694,Padhaku The reading Room,4.9,22,Library,"H-6, near Priya provision store",,"{""latitude"":""21.258211"",""longitude"":""81.6654182""}",https://padhakuthereadingroom.business.site/?utm_source=gmb&utm_medium=referral,08103981154
3699,Deep into the Zone - The Co Growing Space,5.0,8,Library,"First floor, C-8, above Shuddhi Clinic, near SBI ATM",,"{""latitude"":""21.2585838"",""longitude"":""81.6457857""}",,07972591436
3705,Maa C D Library,,,Library,"Ashok Market, Nayapara, Nayapara",,"{""latitude"":""21.2388666"",""longitude"":""81.6349833""}",,09907129787
3710,Food Library,4.0,"1,830",Food court,Food court,Dine-inDrive-throughDelivery,"{""latitude"":""21.2430494"",""longitude"":""81.6499593""}",,09893322196
3713,library pustakalye,5.0,1,Library,"near panch mukhi hanuman madir, near KT",,"{""latitude"":""21.2337402"",""longitude"":""81.6571893""}",https://library-pustakalye.business.site/?utm_source=gmb&utm_medium=referral,06268206323
3715,Booked,5.0,12,Library,Library,,"{""latitude"":""21.2441936"",""longitude"":""81.6489553""}",,07879803181
3726,Chanakya library,4.9,23,Library,Milan sangha B market Cross street 6,,"{""latitude"":""21.2048427"",""longitude"":""81.3727099""}",,07647049604
3727,Adhyayan Library and Study Point,4.8,10,Library,"Jaiswal Supermarket, A-Market",,"{""latitude"":""21.1950662"",""longitude"":""81.361222""}",,09984469269
3729,Apna library in bhilai,4.9,205,Library,"Chitransh Bhawan, near Agrasen Bhawan",,"{""latitude"":""21.1907774"",""longitude"":""81.3426654""}",,08962669304
3736,Nutan Study Library,5.0,47,Library,"ITI, Rungta College Road Infront of Puri",,"{""latitude"":""21.228681"",""longitude"":""81.3444987""}",,09039906265
3737,Ashadeep Library and Reading Hall,4.9,104,Library,"Vardhmaan Complex Second floor Central Avenue Road Smriti Nagar, beside Hotel Gauri Union Bank",,"{""latitude"":""21.2128882"",""longitude"":""81.3199185""}",https://ashadeep-library-and-reading-hall.business.site/?utm_source=gmb&utm_medium=referral,07000629301
3738,The Indian library,4.4,10,Library,"75/28, SHIVAJI CHOWAK, near K.P.S SCHOOL",,"{""latitude"":""21.2096245"",""longitude"":""81.3259972""}",,07999689366
3739,Smritireadingzone cum Library,4.9,33,Library,street no 31,,"{""latitude"":""21.2163988"",""longitude"":""81.3176806""}",,09691058269
